exercise_id,exercise_unique_name,alternative_type,alternative_exercise_id,alternative_exercise_unique_name
5fa96af2fbc7f9000848fdcf,V TUCKINS,SCALE_UP,5fa2b3135ed0de000845ab6a,V SITUPS
5fa96b79fbc7f9000848fe7f,PULL UPS,SCALE_DOWN,5fa2b2de5ed0de000845aaea,LAT PULL DOWN
5fa96b80fbc7f9000848fe86,PULSE SQUAT,SAME_LEVEL,5fe430a88d8324000831e63e,PULSE SUMO SQUAT
5fa96b80fbc7f9000848fe86,PULSE SQUAT,SCALE_DOWN,5fa2b2b35ed0de000845aa82,BODYWEIGHT SQUAT
5fa96b80fbc7f9000848fe86,PULSE SQUAT,SCALE_UP,5fa2b2d65ed0de000845aace,JUMPS SQUAT
5fa96baffbc7f9000848febb,BIRD DOG,SAME_LEVEL,5fa2b3085ed0de000845ab4f,DEADBUGS
5fa96baffbc7f9000848febb,BIRD DOG,SCALE_DOWN,5fe1cf2249bd260008b45a81,LOW PLANK LEG LIFTS
5fa96baffbc7f9000848febb,BIRD DOG,SCALE_UP,5fc74a667fdbe600083487f5,HIGH PLANK TO SUPERMAN
5fa96bb0fbc7f9000848febc,SUPERMAN HOLD,SAME_LEVEL,5fa96baffbc7f9000848febb,BIRD DOG
5fa96bb3fbc7f9000848febf,PRONE YTW,SAME_LEVEL,5fa2b2ff5ed0de000845ab3e,PRONE SWIMMERS
5fa96d10fbc7f9000848ff00,DUMBBELL IPSILATERAL OVERHEAD REVERSE LUNGE,SCALE_DOWN,5fa2b2b35ed0de000845aa81,BODYWEIGHT REVERSE LUNGES
5fa96d72fbc7f9000848ffa9,BARBELL BACK SQUAT,SAME_LEVEL,5fa96d8efbc7f9000848ffe1,BARBELL FRONT SQUAT
5fa96d72fbc7f9000848ffa9,BARBELL BACK SQUAT,SCALE_DOWN,5fbbaabf0dd22200086aecf3,DUMBBELL GOBLET SQUAT
5fa96d8efbc7f9000848ffe1,BARBELL FRONT SQUAT,SAME_LEVEL,5fa96d72fbc7f9000848ffa9,BARBELL BACK SQUAT
